file_name,sheet_name,empresa,periodo,ano,trimestre,demonstrativo,conta,descricao_conta,tipo_saldo,valor_saldo,nivel_conta
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1,Ativo,saldo_inicio_periodo,21853714618.42,1
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.1,Ativo Circulante,saldo_inicio_periodo,5401808499.38,2
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.1.1,Caixa e Equivalentes de Caixa,saldo_inicio_periodo,643389062.46,3
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.1.2,Aplicações Financeiras,saldo_inicio_periodo,198649018.1,3
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.1.3,Contas a Receber,saldo_inicio_periodo,3142541498.28,3
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.1.4,Estoques,saldo_inicio_periodo,432249614.69,3
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.1.4.1,Peças e Materiais de Manutenção de Equipamentos de Voo,saldo_inicio_periodo,359554313.5,4
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.1.4.98,Outros Estoques,saldo_inicio_periodo,72695301.19,4
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.1.5,Tributos a Recuperar,saldo_inicio_periodo,84078774.93,3
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.1.6,Despesas do Exercício Seguinte Pagas Antecipadamente,saldo_inicio_periodo,173202364.6,3
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.1.7,Partes Relacionadas,saldo_inicio_periodo,8323776.72,3
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.1.8,Créditos de Carbono (CORSIA),saldo_inicio_periodo,0.0,3
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.1.98,Outros Ativos Circulantes,saldo_inicio_periodo,719374389.6,3
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.2,Ativo Não Circulante,saldo_inicio_periodo,16451906119.04,2
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.2.1,Realizável a Longo Prazo,saldo_inicio_periodo,3566178922.13,3
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.2.1.1,Caixa Restrito,saldo_inicio_periodo,158695377.1,4
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.2.1.2,Despesas Antecipadas,saldo_inicio_periodo,24047001.82,4
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.2.1.3,Depósitos,saldo_inicio_periodo,3167442313.0,4
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.2.1.4,Partes Relacionadas,saldo_inicio_periodo,183007369.9,4
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.2.1.98,Outros Ativos Realizáveis a Longo Prazo,saldo_inicio_periodo,32986860.31,4
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.2.2,Investimentos,saldo_inicio_periodo,51101029.51,3
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.2.2.1,Participações Permanentes em Outras Sociedades,saldo_inicio_periodo,51101029.51,4
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.2.2.98,Outros Investimentos,saldo_inicio_periodo,0.0,4
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.2.3,Imobilizado,saldo_inicio_periodo,10805726192.6,3
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.2.3.1,Equipamentos de Voo,saldo_inicio_periodo,10079483775.0,4
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.2.3.1.4,Equipamento de Voo - Próprio,saldo_inicio_periodo,1347849754.0,5
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.2.3.1.5,Equipamento de voo - Direito de Uso,saldo_inicio_periodo,6825698453.0,5
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.2.3.1.98,Outros Equipamentos de Voo,saldo_inicio_periodo,1905935568.0,5
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.2.3.2,Equipamentos de Solo,saldo_inicio_periodo,40610860.32,4
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.2.3.2.1,Equipamentos de Solo - Próprio,saldo_inicio_periodo,27099914.21,5
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.2.3.2.2,Equipamentos de Solo - Direito de Uso,saldo_inicio_periodo,13510946.11,5
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.2.3.3,Terrenos e Edifícios,saldo_inicio_periodo,220133187.58,4
demonstracoes_t1_25.xlsx,GLO_T1_25,GLO,2025T1,2025,T1,BP,1.2.3.3.1,Terrenos e Edifícios - Próprio,saldo_inicio_periodo,2659364.88,5
